SessionId,SessionCode,Condition,SequenceNumber,Sender,Message,CreatedAtUtc
06e73db5-1ae1-4fb8-ab24-c3e88c9241ce,EXP-95652EEA,AI,2,Interlocutor,"Me gustaría conocer Japón, su cultura me parece fascinante.",2026-08-20T11:30:40Z
06e73db5-1ae1-4fb8-ab24-c3e88c9241ce,EXP-95652EEA,AI,3,Participant,¿Qué es lo que más valoras en una amistad?,2026-08-20T11:31:00Z
06e73db5-1ae1-4fb8-ab24-c3e88c9241ce,EXP-95652EEA,AI,4,Interlocutor,La sinceridad y que estén presentes en los momentos difíciles.,2026-08-20T11:31:20Z
06e73db5-1ae1-4fb8-ab24-c3e88c9241ce,EXP-95652EEA,AI,5,Participant,¿Qué opinas sobre la inteligencia artificial en la educación?,2026-08-20T11:31:40Z
06e73db5-1ae1-4fb8-ab24-c3e88c9241ce,EXP-95652EEA,AI,6,Interlocutor,"Creo que puede ayudar mucho, pero no debería reemplazar al profesor.",2026-08-20T11:32:00Z
5d3d91dc-6cd9-4e44-a792-de3190ff633e,EXP-40C212C8,AI,1,Participant,¿Qué es lo que más valoras en una amistad?,2026-08-20T11:45:20Z
5d3d91dc-6cd9-4e44-a792-de3190ff633e,EXP-40C212C8,AI,2,Interlocutor,La sinceridad y que estén presentes en los momentos difíciles.,2026-08-20T11:45:40Z
5d3d91dc-6cd9-4e44-a792-de3190ff633e,EXP-40C212C8,AI,3,Participant,¿Cuál es tu comida favorita y por qué?,2026-08-20T11:46:00Z
5d3d91dc-6cd9-4e44-a792-de3190ff633e,EXP-40C212C8,AI,4,Interlocutor,"Me gusta mucho la pasta, sobre todo si la prepara mi mamá.",2026-08-20T11:46:20Z
3ca004d3-f72e-4d95-b6bb-4b401c1e9ce9,EXP-7FA320B9,AI,1,Participant,¿Qué harías si tuvieras un día libre inesperado?,2026-08-20T12:00:20Z
3ca004d3-f72e-4d95-b6bb-4b401c1e9ce9,EXP-7FA320B9,AI,2,Interlocutor,Probablemente saldría a caminar y luego vería una película.,2026-08-20T12:00:40Z
3ca004d3-f72e-4d95-b6bb-4b401c1e9ce9,EXP-7FA320B9,AI,3,Participant,¿Qué opinas sobre la inteligencia artificial en la educación?,2026-08-20T12:01:00Z
3ca004d3-f72e-4d95-b6bb-4b401c1e9ce9,EXP-7FA320B9,AI,4,Interlocutor,"Creo que puede ayudar mucho, pero no debería reemplazar al profesor.",2026-08-20T12:01:20Z
3ca004d3-f72e-4d95-b6bb-4b401c1e9ce9,EXP-7FA320B9,AI,5,Participant,¿Cómo describirías tu día hasta ahora?,2026-08-20T12:01:40Z
3ca004d3-f72e-4d95-b6bb-4b401c1e9ce9,EXP-7FA320B9,AI,6,Interlocutor,"Ha sido tranquilo, estuve trabajando en un proyecto de la universidad.",2026-08-20T12:02:00Z
d02f02e7-22ed-427c-9fbe-1be6fdb799f4,EXP-7AF1BF78,AI,1,Participant,¿Cuál es tu comida favorita y por qué?,2026-08-20T12:15:20Z
d02f02e7-22ed-427c-9fbe-1be6fdb799f4,EXP-7AF1BF78,AI,2,Interlocutor,"Me gusta mucho la pasta, sobre todo si la prepara mi mamá.",2026-08-20T12:15:40Z
d02f02e7-22ed-427c-9fbe-1be6fdb799f4,EXP-7AF1BF78,AI,3,Participant,¿Qué opinas sobre la inteligencia artificial en la educación?,2026-08-20T12:16:00Z
d02f02e7-22ed-427c-9fbe-1be6fdb799f4,EXP-7AF1BF78,AI,4,Interlocutor,"Creo que puede ayudar mucho, pero no debería reemplazar al profesor.",2026-08-20T12:16:20Z
05e35a62-781e-479b-8e1f-71ef1aa94879,EXP-872DACA8,AI,1,Participant,¿Qué opinas de las redes sociales hoy en día?,2026-08-20T12:30:20Z
05e35a62-781e-479b-8e1f-71ef1aa94879,EXP-872DACA8,AI,2,Interlocutor,"Tienen cosas buenas, pero a veces consumen demasiado tiempo.",2026-08-20T12:30:40Z
05e35a62-781e-479b-8e1f-71ef1aa94879,EXP-872DACA8,AI,3,Participant,¿Cuál es tu comida favorita y por qué?,2026-08-20T12:31:00Z
05e35a62-781e-479b-8e1f-71ef1aa94879,EXP-872DACA8,AI,4,Interlocutor,"Me gusta mucho la pasta, sobre todo si la prepara mi mamá.",2026-08-20T12:31:20Z
ede752be-e879-40bb-a0c7-6a35244d9290,EXP-ECAC6962,AI,1,Participant,¿Cómo manejas el estrés en época de exámenes?,2026-08-20T12:45:20Z
ede752be-e879-40bb-a0c7-6a35244d9290,EXP-ECAC6962,AI,2,Interlocutor,Trato de organizar mi tiempo con anticipación y descansar bien.,2026-08-20T12:45:40Z
ede752be-e879-40bb-a0c7-6a35244d9290,EXP-ECAC6962,AI,3,Participant,Cuéntame sobre un libro que te haya marcado.,2026-08-20T12:46:00Z
ede752be-e879-40bb-a0c7-6a35244d9290,EXP-ECAC6962,AI,4,Interlocutor,"Leí uno sobre hábitos hace poco, me hizo repensar mi rutina diaria.",2026-08-20T12:46:20Z
ede752be-e879-40bb-a0c7-6a35244d9290,EXP-ECAC6962,AI,5,Participant,¿Cómo crees que será la tecnología en 10 años?,2026-08-20T12:46:40Z
ede752be-e879-40bb-a0c7-6a35244d9290,EXP-ECAC6962,AI,6,Interlocutor,Pienso que la IA estará mucho más integrada en la vida diaria.,2026-08-20T12:47:00Z
55eb4281-89d5-4cd8-91ec-8e64caa100d2,EXP-5E323C4C,AI,1,Participant,¿Cuál es tu comida favorita y por qué?,2026-08-20T13:00:20Z
55eb4281-89d5-4cd8-91ec-8e64caa100d2,EXP-5E323C4C,AI,2,Interlocutor,"Me gusta mucho la pasta, sobre todo si la prepara mi mamá.",2026-08-20T13:00:40Z
55eb4281-89d5-4cd8-91ec-8e64caa100d2,EXP-5E323C4C,AI,3,Participant,¿Qué opinas sobre la inteligencia artificial en la educación?,2026-08-20T13:01:00Z
55eb4281-89d5-4cd8-91ec-8e64caa100d2,EXP-5E323C4C,AI,4,Interlocutor,"Creo que puede ayudar mucho, pero no debería reemplazar al profesor.",2026-08-20T13:01:20Z
b3016ffb-f30a-4750-a0ec-2bcbe973a4b5,EXP-AE87334B,AI,1,Participant,¿Qué harías si tuvieras un día libre inesperado?,2026-08-20T13:15:20Z
b3016ffb-f30a-4750-a0ec-2bcbe973a4b5,EXP-AE87334B,AI,2,Interlocutor,Probablemente saldría a caminar y luego vería una película.,2026-08-20T13:15:40Z
b3016ffb-f30a-4750-a0ec-2bcbe973a4b5,EXP-AE87334B,AI,3,Participant,Cuéntame sobre un libro que te haya marcado.,2026-08-20T13:16:00Z
b3016ffb-f30a-4750-a0ec-2bcbe973a4b5,EXP-AE87334B,AI,4,Interlocutor,"Leí uno sobre hábitos hace poco, me hizo repensar mi rutina diaria.",2026-08-20T13:16:20Z
b3016ffb-f30a-4750-a0ec-2bcbe973a4b5,EXP-AE87334B,AI,5,Participant,"Si pudieras viajar a cualquier lugar, ¿a dónde irías?",2026-08-20T13:16:40Z
b3016ffb-f30a-4750-a0ec-2bcbe973a4b5,EXP-AE87334B,AI,6,Interlocutor,"Me gustaría conocer Japón, su cultura me parece fascinante.",2026-08-20T13:17:00Z
3c979041-b3c0-4082-bb92-2e7d9e9fe9d0,EXP-749AC97B,AI,1,Participant,¿Qué es lo que más valoras en una amistad?,2026-08-20T13:30:20Z
3c979041-b3c0-4082-bb92-2e7d9e9fe9d0,EXP-749AC97B,AI,2,Interlocutor,La sinceridad y que estén presentes en los momentos difíciles.,2026-08-20T13:30:40Z
3c979041-b3c0-4082-bb92-2e7d9e9fe9d0,EXP-749AC97B,AI,3,Participant,¿Qué harías si tuvieras un día libre inesperado?,2026-08-20T13:31:00Z
3c979041-b3c0-4082-bb92-2e7d9e9fe9d0,EXP-749AC97B,AI,4,Interlocutor,Probablemente saldría a caminar y luego vería una película.,2026-08-20T13:31:20Z
3c979041-b3c0-4082-bb92-2e7d9e9fe9d0,EXP-749AC97B,AI,5,Participant,¿Cómo manejas el estrés en época de exámenes?,2026-08-20T13:31:40Z
9c46d9de-8fa8-4274-a5b1-9ab01fa9caa3,EXP-10D5F1FA,AI,1,Participant,¿Qué harías si tuvieras un día libre inesperado?,2026-08-20T13:45:20Z
9c46d9de-8fa8-4274-a5b1-9ab01fa9caa3,EXP-10D5F1FA,AI,2,Interlocutor,Probablemente saldría a caminar y luego vería una película.,2026-08-20T13:45:40Z
9c46d9de-8fa8-4274-a5b1-9ab01fa9caa3,EXP-10D5F1FA,AI,3,Participant,¿Cómo describirías tu día hasta ahora?,2026-08-20T13:46:00Z
9c46d9de-8fa8-4274-a5b1-9ab01fa9caa3,EXP-10D5F1FA,AI,4,Interlocutor,"Ha sido tranquilo, estuve trabajando en un proyecto de la universidad.",2026-08-20T13:46:20Z
